Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
30000,1.4216268,0.0848828108072008,896.1724137931035,0.029535739,0.122078694,0.20748506,-0.05836436152458191,4.1406436786055565,8.35383949960981,0.019507365,0.031893797,0.000299437,0.23034196,0.2218616,2.4687421,0.38416442,0.60484374
60000,1.4282889,-0.060155532456216555,866.8611111111111,0.008404243,0.21812522,0.9045268,0.08139432966709137,1.6748422450489469,10.124560991923014,0.019342981,0.03258728,0.00029861447,0.06422218,0.25043288,1.2515911,0.38051322,0.6096807
90000,1.4292015,-0.3969293439646101,912.9705882352941,-0.05441821,0.118628904,1.0464298,-0.3969471209189471,0.8779466073302662,9.452395930009729,0.007924053,0.034607727,0.00029773667,0.037378687,0.24424876,1.1358969,0.361823,0.6332288
120000,1.4311737,-0.20483118624406416,890.71875,0.06891927,0.07627884,1.0743496,-0.2289091691826329,0.5770226495735573,9.181476672490438,0.008078561,0.03133309,0.00029686737,0.026664486,0.22675443,1.0981865,0.36024275,0.64903617
150000,1.4339267,0.03836576805250453,828.7142857142857,0.0961131,0.04942088,1.0817152,0.07478228912634008,0.38330910311025734,8.19102178251042,0.0060235094,0.03283525,0.00029596858,0.019756656,0.215183,1.0042448,0.34600464,0.6655438
180000,1.444838,-0.8928181240088165,969.969696969697,0.011606402,0.03969409,0.955699,-0.9018471468897427,0.36776876986465035,9.105428969158845,0.003803029,0.034753,0.00029503697,0.016132554,0.20135818,0.9613295,0.331261,0.6935709
210000,1.4533607,-0.555367678957766,921.5483870967741,-0.041945986,0.037394922,1.133964,-0.5405534148216248,0.3130219794809818,9.884199861685435,0.0071578324,0.029769361,0.0002941489,0.014898337,0.19223201,1.0617522,0.37539375,0.6605863
240000,1.4404111,0.4000526909983723,801.2368421052631,0.09474653,0.038324613,1.1181294,0.3641588718463213,0.2412461725374063,8.849721575394655,0.015839502,0.031226305,0.00029325532,0.013686171,0.20732881,1.0619935,0.39297593,0.65754026
270000,1.4520696,-0.07325552508458107,841.3055555555555,0.08115681,0.027769128,1.1361063,-0.046788666929517476,0.2570136801472732,8.566199122156416,0.011132415,0.031878058,0.0002923458,0.013291448,0.23248065,0.9859328,0.36261615,0.68561935
300000,1.4650983,-0.5098726686573531,914.4242424242424,0.022068981,0.024642617,0.92861545,-0.5242765370537253,0.21788888304110834,8.181935766163994,0.0049611856,0.029550914,0.00029144916,0.010878133,0.2556993,0.8885591,0.3205209,0.72189295
330000,1.4616399,0.25846476302831434,872.4117647058823,0.062629886,0.02793745,0.9659462,0.2965877995346532,0.2053839719402745,7.756840395204948,0.0110003045,0.034398545,0.0002905427,0.010887452,0.26851168,0.85260075,0.31426764,0.7444122
360000,1.4602458,0.6513948016972312,797.2105263157895,0.1491155,0.028298939,1.0691627,0.6090614734551846,0.19564559468283102,7.470097512770922,0.020030515,0.03286071,0.00028965843,0.011382044,0.24987957,0.9174424,0.34151247,0.71880805
390000,1.4846463,0.5008684708656418,766.2105263157895,0.20292304,0.024644844,1.048421,0.5468215539648726,0.16700552741216645,7.263110784260002,0.014096462,0.031985242,0.00028875459,0.010245214,0.2624641,0.9391933,0.35050026,0.7035463
420000,1.5031723,-0.15999422147038525,855.7428571428571,0.08558048,0.023049219,0.9160279,-0.16285722936902727,0.1665775378899915,7.623479848248618,0.0070787794,0.030709306,0.00028783237,0.008965714,0.3080347,0.87448287,0.31767794,0.7209717
450000,1.5351479,0.8837610403400216,753.9756097560976,0.27676395,0.026198367,0.93397653,0.8862048227612566,0.15161490440368652,6.602304552113864,0.012272867,0.034574125,0.0002869414,0.009401497,0.32163557,0.87393975,0.31884894,0.72606415
