Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
60000,0.39839363,8.8237710434379,18.9013468013468,0.9964216,8.821522394026438,19.649733,0.05075564,0.00029907344
120000,0.1491267,59.86993864782018,119.57055214723927,5.803351,59.86789363915204,29.675772,0.050940264,0.00029727787
180000,0.110902466,78.70401069314723,156.65508021390374,9.630123,78.53813329728445,26.974386,0.04561328,0.0002954824
240000,0.10555861,80.79536784685925,160.77384196185287,13.197037,80.79536778498085,25.293768,0.050969567,0.00029368603
300000,0.12150924,82.06944444338895,163.31944444444446,16.787313,82.06944442490736,25.211233,0.049838673,0.00029188892
360000,0.09288548,90.5453987695688,180.02147239263803,20.368355,90.54539873135602,26.606539,0.05055765,0.00029008914
420000,0.103302725,91.33414633917373,181.54268292682926,23.628689,91.33414634135438,28.854898,0.04588285,0.00028829105
480000,0.10866502,85.24398826722525,169.49853372434018,26.35477,85.24398822256546,34.19767,0.045556594,0.00028649237
540000,0.12048332,86.71681159164595,172.45507246376812,27.789684,86.71681154396224,36.60595,0.04744323,0.00028469317
600000,0.042744916,5.340493407035472,11.936410038281583,7.8332887,5.343167305284482,63.361347,0.067720965,0.0002828986
660000,0.019513585,2.167174130462914,5.667518613179242,0.8067704,2.1672816181426633,0.22004859,0.04921651,0.00028110974
720000,0.01919199,2.1667666666706404,5.667,0.74796814,2.166614820580789,0.13508253,0.04851575,0.00027932186
780000,0.017878676,2.166633333325386,5.666666666666667,0.7728861,2.1666777777671813,0.13065448,0.048049234,0.0002774724
840000,0.032128688,2.1666000000039736,5.666333333333333,0.7664443,2.1667074119399583,0.134783,0.04674996,0.00027568455
900000,0.08673851,2.1667666666706404,5.667,0.75499356,2.166614820580789,0.13830218,0.04783863,0.0002738967
960000,0.0700028,2.166633333325386,5.666666666666667,0.75924945,2.1666777777671813,0.13828303,0.049908724,0.00027210885
