Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
30000,1.4193002,-0.10575444,0.13171439,0.0014125599,0.03545547,0.00029954786,0.4312597,0.22709054,-1.09166660507132,998.0,-1.0916667506098747,5.523397768537204
60000,1.4213742,-0.099190965,0.24644145,0.00023509862,0.033712506,0.0002987374,0.07513875,0.23403473,-1.1138888312400215,998.0,-1.1171429446765355,2.036870810815266
90000,1.4278377,-0.10285433,0.19764017,0.00011126483,0.03200723,0.0002978383,0.03756782,0.26135182,-0.8567839347664267,974.84,-0.8622923722633948,0.9332880641405399
120000,1.4277719,-0.102919914,0.13021964,0.0027023514,0.032435652,0.00029685025,0.021998733,0.22744517,-1.124966609833387,998.0,-1.1114058000700815,0.5422860364828791
150000,1.4307123,-0.09806101,0.08658728,6.456844e-05,0.03549394,0.00029595027,0.0156109,0.19690368,-1.0541332707070978,998.0,-1.0759520864486694,0.4124919819831848
180000,1.4337555,-0.103545845,0.062273692,0.00295364,0.03210833,0.00029505455,0.011471222,0.18358873,-0.9162610522115655,992.0555555555555,-0.9138743707111904,0.28029733268277984
210000,1.4346049,-0.097562976,0.040778555,0.013054413,0.03517399,0.00029406583,0.007960739,0.18456544,-0.23031846316384705,913.7407407407408,-0.23033341213508887,0.17054729950096872
240000,1.4328051,-0.066408,0.032814935,0.015909895,0.03516689,0.00029319563,0.008626111,0.18143044,-0.251335056003095,909.081081081081,-0.2710210978984833,0.1827348407946135
270000,1.4344208,-0.06403701,0.02712202,0.010356842,0.030737748,0.00029231957,0.008109601,0.18231651,-0.416013274306412,921.0666666666667,-0.4160133977731069,0.17329025032619635
300000,1.439475,-0.068183124,0.02152121,0.0035297354,0.031047976,0.00029142638,0.0070656696,0.1756093,-0.7491272115726271,953.5151515151515,-0.749127341039253,0.1607265742777875
330000,1.4491159,-0.053042635,0.016561858,0.018884348,0.032472886,0.00029053228,0.0058517843,0.16536936,0.09606117019777433,838.5833333333334,0.1273599318095616,0.11040687396058015
360000,1.4553812,-0.05590018,0.015910443,0.011743149,0.03260821,0.00028961743,0.0049443655,0.15169103,-0.17676357795823028,875.2424242424242,-0.17371522115938592,0.10238892441107468
390000,1.4917063,0.07506238,0.015665429,0.0060839527,0.03290799,0.00028870805,0.0044607623,0.13608186,0.03410006022711873,843.421052631579,0.031468361616134644,0.08452310361654351
420000,1.5097268,0.07976885,0.014709849,0.008953749,0.037149277,0.00028780787,0.0046206983,0.13206224,0.13607506193420704,834.40625,0.10164842822334984,0.08984881608436505
450000,1.5341566,0.11661895,0.015612277,0.005962059,0.035356708,0.00028695606,0.003940027,0.115753554,0.3105526917156806,832.7105263157895,0.31055255626377304,0.08146548550575972
480000,1.542368,-0.016888069,0.010677245,0.0038613626,0.031432908,0.00028608902,0.003897542,0.11019807,-0.5052386420138646,929.5483870967741,-0.5052387810522511,0.0829283362554927
510000,1.5314103,0.093700826,0.011595475,0.007053976,0.032272708,0.0002851571,0.0040555713,0.1190351,-0.08054437313249865,868.0277777777778,-0.08054448498619927,0.08446031507790192
540000,1.6216453,-0.030210745,0.0101639405,0.0036650265,0.029761886,0.00028423622,0.0040004044,0.111051634,-0.4617311725705804,916.625,-0.444393600186994,0.08635808299145391
570000,1.5939912,0.028027564,0.009681589,0.0057114414,0.034274213,0.00028332433,0.0037019383,0.10688416,-0.1874570683771578,888.9714285714285,-0.18745719024113247,0.07269968347890036
600000,1.6722853,0.050263405,0.010802368,0.008651323,0.035435066,0.00028241565,0.0036621694,0.10999866,-0.1474374305330457,892.9375,-0.14430629834532738,0.08690061388188042
630000,1.7288293,0.021962674,0.009670934,0.0015169969,0.03173356,0.00028155508,0.0030217236,0.088103294,-0.6737999433431879,959.4193548387096,-0.6871000900864601,0.07071877200360177
660000,1.8292626,-0.015398863,0.009283605,0.0019573173,0.033962633,0.00028069146,0.002697742,0.074895106,-0.2276570760848699,903.4285714285714,-0.2276571920939854,0.05718426884018949
690000,1.9510517,-0.046431575,0.0071341004,0.0019319021,0.037703957,0.00027976208,0.0024831088,0.054852564,-1.1328221652004653,998.0,-1.1225616175394793,0.05911393583608934
720000,2.0847735,0.042896923,0.007255519,0.008486942,0.03480227,0.00027883946,0.0022696857,0.04719305,-0.25686280680363,938.1714285714286,-0.2682800667626517,0.05571883463832949
750000,2.2695315,0.026459163,0.006175821,0.007407888,0.033754826,0.00027792552,0.0021255123,0.043934036,0.35777581809397263,846.8787878787879,0.3178411354036892,0.04683818670866244
780000,2.592573,0.09975262,0.005253968,0.005947909,0.035208717,0.000277001,0.0014024224,0.027573172,-0.4043646417583873,952.7941176470588,-0.3863333969405203,0.03345173065353072
810000,2.795093,-0.05886678,0.0054266243,0.00033135884,0.034898534,0.00027612844,0.0013019905,0.022095911,-1.0441036394557968,998.0,-1.042507216334343,0.03238461944939835
840000,2.946363,-0.070631914,0.0050477153,0.00012468404,0.03524887,0.0002752508,0.0015595856,0.02413909,-1.0450666018415093,998.0,-1.046493824571371,0.03687421740323771
870000,3.2634184,-0.06385933,0.0052534756,0.001509456,0.03488143,0.0002743115,0.001271583,0.017170051,-0.6353406830835242,981.8518518518518,-0.6483429414885384,0.032014377415180206
900000,3.091505,-0.06361249,0.003851017,0.0011124659,0.03121498,0.000273446,0.0012431943,0.016371565,-0.8315528760110337,974.1470588235294,-0.8264485471176378,0.03135022444819862
930000,3.107679,-0.06364393,0.0039688256,0.00094296783,0.030023122,0.00027257347,0.001308006,0.01790139,-1.0439925273725141,998.0,-1.0424215133701051,0.03362131870484778
960000,3.3834314,-0.078328,0.0044154203,0.0008709625,0.03701351,0.00027163033,0.0009881723,0.014561017,-0.8535635658706517,994.4545454545455,-0.8489875607192516,0.025952589538064785
990000,3.088437,-0.09651921,0.0045589264,3.3149092e-05,0.03654195,0.00027075465,0.0012782534,0.02222041,-1.0291925267169804,998.0,-1.0281500731195723,0.030529809716556753
1020000,3.1596248,-0.05058882,0.0054752496,0.0040967963,0.03480349,0.00026988375,0.0011347864,0.018644903,-0.43753327112871276,952.7222222222222,-0.4214800953865051,0.02804205742265497
1050000,3.975419,-0.049562126,0.0053444407,0.004103274,0.03747425,0.0002689568,0.00089174137,0.013575549,-0.5215285217013194,927.1428571428571,-0.538006983954331,0.019759260919366577
1080000,3.843675,-0.06356962,0.0027703824,0.001407789,0.037581112,0.00026802663,0.00093663007,0.0137036145,-0.7149453881998356,958.9090909090909,-0.7060438301414251,0.021204290591413155
1110000,4.136351,-0.08451993,0.0028924055,0.0011117024,0.049032446,0.00026716178,0.00077056367,0.011377527,-0.881786607055983,970.3,-0.8855936373433759,0.018951663995281823
1140000,3.946587,-0.08560366,0.0026902063,0.00090692344,0.032200597,0.00026628995,0.0008578071,0.012868769,-0.857818681585286,975.0625,-0.8532516802510908,0.02044285323110319
1170000,4.2836514,-0.082786456,0.0020352644,0.0010718636,0.035633083,0.00026534867,0.0006803352,0.007987967,-0.80023441324713,971.1034482758621,-0.8068733970324199,0.015633439427862564
1200000,4.078478,-0.096297964,0.0026950692,0.0029156264,0.032136597,0.00026441188,0.000786671,0.012694672,-0.8461374360008449,978.96875,-0.8411807129459996,0.020140685441513217
1230000,4.4661894,-0.026847538,0.0015934957,0.003104516,0.031792715,0.00026353673,0.0007254032,0.009427462,-0.3355418818283661,946.8709677419355,-0.3563000876456499,0.0169484921352705
1260000,3.8852525,-0.08441807,0.0021404303,0.0020138079,0.033527814,0.00026266222,0.00064406585,0.010263452,-0.64729992627108,959.1,-0.6473000605901083,0.013923917679737012
1290000,4.083891,-0.08119039,0.0033842998,0.0005809805,0.032319732,0.0002617217,0.00078761444,0.014079581,-0.8628874334790453,980.03125,-0.8628875836730003,0.01861551403271733
1320000,4.7720866,-0.08504502,0.0014287012,0.0017074546,0.03245729,0.00026084782,0.00066320086,0.0067445952,-0.7491289685821093,976.6129032258065,-0.7407734135786692,0.015765955826888483
