Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
30000,1.4194098,-0.036547318,0.022971757,0.0010165137,0.03140446,0.00029953968,0.363655,0.2229206,-0.9999999310821295,1871.25,-1.0000000596046448,7.243178355693817
60000,1.4224075,-0.046272524,0.19112493,0.0051736003,0.035474725,0.00029864867,0.055321585,0.22121477,-0.32330620143329725,1782.75,-0.36311182379722595,2.882750769967542
90000,1.4243861,-0.02036943,0.16727053,0.0053026914,0.03730853,0.0002976529,0.029625721,0.2217866,-0.31531243501012796,1752.25,-0.3153125662356615,1.6916251932270825
120000,1.427023,-0.041106332,0.11732483,8.498243e-05,0.030568976,0.00029675453,0.019627305,0.22098827,-0.9999061810922285,1871.25,-0.9999063117429614,1.036721505690366
150000,1.4332069,-0.029351784,0.081749886,0.006536683,0.03443485,0.00029586337,0.014528031,0.20411152,-0.3585881538901423,1772.5882352941176,-0.3585883019601597,0.7428381864858025
180000,1.4363585,-0.03166795,0.062162127,0.0071651316,0.032748427,0.00029496953,0.013182723,0.21710971,-0.04004111663380172,1723.8823529411766,-0.040041247711462134,0.6563198437147281
210000,1.4390838,-0.018755807,0.05159568,0.012359362,0.032730274,0.00029408748,0.010657661,0.20431423,-0.03369994468298768,1711.235294117647,-0.033700070836964774,0.5184267418568625
240000,1.4369471,0.027151015,0.041353907,0.013943665,0.033031043,0.00029317904,0.009721446,0.1939807,0.6586294441063621,1503.5294117647059,0.6586293297655442,0.38164695231791806
270000,1.4289833,0.019532468,0.027472485,0.0049618683,0.031596456,0.0002922856,0.007093506,0.1920503,-0.04688327250955303,1646.388888888889,-0.04688336617416806,0.3686036364071899
300000,1.4318497,0.011658039,0.021198755,0.006057987,0.029523693,0.0002914376,0.0061541945,0.19260912,-0.34701757444503634,1749.7058823529412,-0.3062250651419163,0.27890465295058675
330000,1.4318105,-0.008411745,0.017011099,0.0067971875,0.032756362,0.0002905494,0.0056234924,0.18632779,0.5069316210237479,1512.578947368421,0.43159989565610885,0.22896610461175443
360000,1.451904,0.038277343,0.014941976,0.0047896025,0.03468457,0.00028963023,0.0047876164,0.15406825,-0.15398494087821746,1689.55,-0.109473738231157,0.19734135853420748
390000,1.4681954,0.004463342,0.010992432,0.0006982052,0.030847212,0.0002887501,0.00407789,0.14023633,-0.6746499446157941,1845.875,-0.6746500767767429,0.18077621806878597
420000,1.4750413,0.028521532,0.012973573,0.005033502,0.0358338,0.00028786014,0.0040327166,0.13075696,0.26477228070830783,1578.7222222222222,0.19822103177246295,0.1499796426413875
450000,1.501422,0.01896095,0.01090667,0.0041776258,0.033120368,0.0002869894,0.0036421895,0.11557281,-0.013943662936071632,1774.6875,-0.01394375879317522,0.16188121790764853
480000,1.5281348,-0.037950907,0.008365738,0.004410492,0.03583831,0.00028605707,0.003063461,0.110544026,-0.37382773620508186,1744.5,-0.3370177290018867,0.14518546877319322
510000,1.5455639,0.06819543,0.00998286,0.0042974413,0.0324721,0.00028513835,0.0028948637,0.10234867,-0.0339055107199076,1620.388888888889,-0.08473164156863564,0.1151387001338758
540000,1.5716298,0.008365083,0.007128078,0.0019799224,0.030565262,0.00028420804,0.0025407714,0.08605383,-0.06349406436493155,1770.8823529411766,-0.06349417216637555,0.11221429152304635
570000,1.5618299,-0.0064722416,0.0092724385,0.0018818141,0.03618045,0.00028331738,0.0027448572,0.09423613,-0.3551881741894998,1766.0588235294117,-0.355188308393254,0.11353369495447944
600000,1.6128327,-0.0049652955,0.007007945,0.012268161,0.030851945,0.00028243932,0.0026163135,0.0785365,0.7353316412099,1588.157894736842,0.7353316161193346,0.12052893555281978
630000,1.632331,0.0638449,0.004536165,0.010198606,0.032556232,0.00028151594,0.0026856891,0.07940932,0.47688426515838056,1571.6842105263158,0.47688417215096324,0.1001422917470336
660000,1.6892118,-0.022130983,0.006609319,0.009673481,0.033008512,0.00028064186,0.001930601,0.06743953,-0.11794204622741458,1706.6315789473683,-0.11794218734691017,0.08458173956329886
690000,1.7347888,-0.004893306,0.0050642635,0.0072084367,0.033971887,0.0002797684,0.0015380749,0.05503412,-0.04913326095387068,1651.0,-0.04913339432742861,0.07261800962603754
720000,1.7625519,0.0012671169,0.0042454405,0.009311662,0.029794622,0.00027883187,0.0017053615,0.048916716,0.18380006733557247,1629.5263157894738,0.18379996952257657,0.06649434147402644
750000,1.8537228,-0.01306119,0.0046592476,0.0047690747,0.033467174,0.0002778987,0.0015811882,0.039569728,-0.3428293554161963,1741.4117647058824,-0.34282948777956124,0.0597807979759048
