Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,1.8332416,-0.07646486,0.0007780403,0.0692368,0.0002954496,-0.9999999310821295,984.0,-1.0000000447034836
120000,1.7921154,-0.07235021,0.0020907938,0.0671948,0.00028643254,-0.7290266051783693,874.8266666666667,-0.7290267063677311
180000,1.7789224,-0.07002112,0.0032964482,0.073117085,0.00027756003,-0.4991224428802525,774.1625,-0.49912253143265845
240000,1.5298371,-0.014081364,0.0066949385,0.06945488,0.00026848444,-0.042394690232820144,585.6315789473684,-0.042394755375489854
300000,1.1931341,0.3008195,0.017320592,0.07066695,0.00025953713,0.771648710850373,165.3979057591623,0.7716486960532466
360000,0.9660079,0.42677757,0.017087508,0.068432935,0.00025058567,0.847780248324655,119.22868217054264,0.8477802388370037
420000,0.8306659,0.4502783,0.016286874,0.067399316,0.00024149456,0.8810093250888524,100.55307262569832,0.8810093186559845
480000,0.73769283,0.49774376,0.015494317,0.06797021,0.00023243146,0.8705481986339267,97.78988941548184,0.8705481913876477
540000,0.7216567,0.55040205,0.0148560675,0.06808483,0.00022339662,0.8972376374654559,85.70862800565772,0.897237632413101
600000,0.5733284,0.59075266,0.012745992,0.06880714,0.0002145157,0.9076357727492441,76.96296296296296,0.9076357684401488
660000,0.45987004,0.59505725,0.012474096,0.06448418,0.00020560937,0.9156683232305213,71.96054254007399,0.9161328478589837
720000,0.44971702,0.6147957,0.013078458,0.07021318,0.00019653245,0.9286678725693084,64.58454647256438,0.9282067280475463
780000,0.47365028,0.5961279,0.013190939,0.068790086,0.00018747922,0.9146071876522527,70.95933014354067,0.9146227345013163
840000,0.38614762,0.6275143,0.012207271,0.06909186,0.00017843411,0.9245071068961842,65.19221967963387,0.9244958916146232
900000,0.3357289,0.64944905,0.012264063,0.06869213,0.00016938431,0.9277328053369701,62.026315789473685,0.9277532953501532
960000,0.3599058,0.6376634,0.011357305,0.06799097,0.00016050178,0.9320246631252668,59.41264737406217,0.932024661495499
