Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,1.4411222,0.037377913,0.0006794927,0.06912775,0.0002990807,-0.9742652373103311,978.7551020408164,-0.974265349914833
120000,1.5234796,-0.09388522,0.0003743921,0.06963113,0.00029731973,-0.9519218068417103,967.421875,-0.9519219191279262
180000,1.6787196,-0.089830495,0.0001727334,0.07091939,0.00029552652,-0.948948417671173,963.5909090909091,-0.9489485292385021
240000,2.1440113,-0.09727208,0.00052592315,0.069338165,0.0002937098,-0.9193015208949209,951.4761904761905,-0.9193016304856255
300000,2.2358134,-0.089400336,0.00038381704,0.07068234,0.00029189087,-0.8388560761844641,911.8070175438596,-0.8388561803782195
360000,2.258088,-0.08759355,0.0003660011,0.06875498,0.00029012343,-0.8366029196620377,926.1194029850747,-0.8366030256138809
420000,2.5560915,-0.0843927,0.0001923443,0.068238474,0.00028830176,-0.9000570769989974,948.2539682539683,-0.9000571862690978
480000,2.4849212,-0.0771878,0.0003663502,0.07164497,0.00028647776,-0.8273937795691801,935.4153846153846,-0.8273938874212595
540000,2.4778085,-0.089533724,0.00027259818,0.06968316,0.00028468715,-0.8967447605976084,950.4827586206897,-0.8967448697778685
600000,2.6202044,-0.08770841,0.00026670075,0.06818842,0.00028289534,-0.8441155590521703,923.0625,-0.8441156657063402
660000,2.8011339,-0.08497687,0.00019634046,0.06978792,0.0002810862,-0.8962059941909639,941.7575757575758,-0.8962061027008476
720000,2.9769378,-0.08683858,0.00021083759,0.074395776,0.0002792922,-0.9096096114151278,942.8870967741935,-0.9081344691822764
780000,2.9369874,-0.093253784,3.3599754e-05,0.09948667,0.0002774934,-0.9780701063698456,979.9649122807018,-0.9780772370204591
840000,2.8349426,-0.09413434,7.4885786e-05,0.06768787,0.00027569185,-0.9684773517275913,969.0967741935484,-0.968965123806681
900000,2.8139997,-0.09053611,0.00038936266,0.06900151,0.00027389324,-0.8397641137052057,914.6567164179105,-0.8397642180546007
960000,2.874113,-0.08371887,0.0005426928,0.06743737,0.0002720922,-0.7585241795827504,880.8484848484849,-0.7548154230301197
1020000,2.9364755,-0.09027035,0.00016164716,0.073112376,0.0002703026,-0.875340918462378,926.2459016393443,-0.8773452029112847
1080000,2.8246758,-0.08784808,0.0003352205,0.0706159,0.00026847894,-0.8698999342545214,930.9242424242424,-0.8699000414009347
1140000,2.930463,-0.091053285,3.1449476e-05,0.06837942,0.0002666922,-0.9694096093040688,970.2096774193549,-0.9694097217532897
1200000,3.1737223,-0.09361151,0.00015749248,0.06682067,0.00026490868,-0.9686338306237919,970.2372881355932,-0.9681000443625039
1260000,3.1473422,-0.092828676,0.00022948341,0.06745158,0.00026309464,-0.8692126320229219,933.7777777777778,-0.871250040770974
1320000,3.033248,-0.09581749,0.00031679551,0.06852543,0.00026127795,-0.8627193381250993,922.6716417910447,-0.8627194446414265
1380000,3.0972712,-0.07633905,0.0005333466,0.0675304,0.00025949447,-0.7540891666439935,878.6461538461539,-0.7540892680677084
1440000,3.3148444,-0.083997324,0.00046748802,0.068046354,0.00025770848,-0.7004521127475554,860.695652173913,-0.7004522120283134
1500000,3.3766623,-0.09177925,0.00021222563,0.0680611,0.00025589255,-0.8683709016193226,934.2741935483871,-0.8683710102472575
1560000,3.271947,-0.09170508,0.00023206012,0.06967413,0.00025407918,-0.8547291667039435,917.0769230769231,-0.8547292715081802
1620000,3.2167282,-0.09160431,0.00034383676,0.06878532,0.00025229403,-0.8610249343701071,924.5,-0.8610250407946296
1680000,3.2675354,-0.09775076,0.00029992082,0.0696958,0.00025050773,-0.8429396167577203,923.6031746031746,-0.8429397237561052
1740000,3.2093208,-0.09177918,0.00017034746,0.06824649,0.00024869302,-0.9410570756241675,957.6984126984127,-0.9410571860415595
1800000,3.2793226,-0.09722748,1.7003951e-05,0.06495852,0.0002468777,-0.9672699324296749,968.65,-0.967270043802758
1860000,3.3398197,-0.088770054,0.00025630652,0.06862292,0.00024509462,-0.9081904097113275,940.968253968254,-0.9081905180854457
1920000,3.363506,-0.09090493,0.00018621999,0.06723123,0.00024331239,-0.9366655065537312,954.2950819672132,-0.9366656151584914
1980000,3.331014,-0.09638517,0.00018311322,0.07110689,0.00024150098,-0.8990348534885376,947.4603174603175,-0.8990349628859096
2040000,3.3708472,-0.09077418,0.00015809356,0.06820727,0.00023968487,-0.936432190467566,953.5967741935484,-0.9353967627174542
2100000,3.4272947,-0.088326804,0.0001800302,0.06762823,0.00023789905,-0.8803468092232833,928.1875,-0.8821815797915825
