Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
5820000,0.045738928,46.209854,352.9393442615134,696.5901639344262,352.93934422242836,19.967003,0.04607782,0.00012603962
5880000,0.039583858,46.357315,366.51428571382127,723.2597402597403,366.5142856766651,19.404188,0.04835393,0.0001244913
5940000,0.039838202,46.324768,412.08918918790044,813.027027027027,412.08918919112233,18.587471,0.045900222,0.00012269603
6000000,0.047623303,46.15046,354.59404761734464,699.8095238095239,354.59404755135375,22.19551,0.048650887,0.000120900826
6060000,0.053965297,45.64572,317.36145833010477,626.5833333333334,317.36145831706625,24.597847,0.04843198,0.00011910373
6120000,0.05444715,44.474434,265.27964601632766,523.9203539823009,265.27964598151436,26.075583,0.049238436,0.00011730892
6180000,0.050565343,44.879642,386.29615384569536,762.2179487179487,386.2961538892526,18.807087,0.047956403,0.00011551401
6240000,0.06328522,45.370758,336.04999999944556,663.3953488372093,338.91058824202594,21.204344,0.0474897,0.00011372114
6300000,0.072956085,45.37334,336.1934782597034,663.6304347826087,333.57741928164677,22.308477,0.048311673,0.0001119274
6360000,0.07001959,45.412342,332.6590361444347,656.6746987951807,332.65903620403935,20.413605,0.046849344,0.00011006902
6420000,0.06322713,45.862026,400.7129870126774,790.7662337662338,400.7129870211923,20.156216,0.04952984,0.00010827057
6480000,0.07167917,45.604134,293.2145631041342,578.9902912621359,293.2145631133931,25.22544,0.046118338,0.000106471816
6540000,0.068284996,45.596107,403.62191780625955,796.3561643835617,403.62191780381005,18.946241,0.046891134,0.000104677056
6600000,0.0677583,45.63818,400.2986842064481,789.8026315789474,400.2986841899784,20.729836,0.047545977,0.00010287818
6660000,0.06980599,45.866974,444.8470588212504,877.4558823529412,444.84705880459614,16.685102,0.048594423,0.00010108211
6720000,0.076471046,45.88096,302.7115789444823,597.6526315789474,302.7115789269146,21.200228,0.048269834,9.929053e-05
6780000,0.081922255,46.146294,428.36956521825516,845.1449275362319,428.3695652458979,18.213352,0.047823377,9.749677e-05
6840000,0.07567629,45.767147,388.7333333316522,767.0128205128206,388.733333302614,18.660454,0.046913642,9.570121e-05
6900000,0.079934046,46.020367,415.6608108104886,820.0675675675676,415.66081079760113,20.124643,0.0490594,9.390463e-05
6960000,0.08439877,46.070187,381.33421052678636,752.5657894736842,381.3342105558044,18.527933,0.048536863,9.2104296e-05
7020000,0.07440899,45.770714,389.0948717968586,767.7564102564103,389.09487180450026,18.624708,0.048770823,9.030481e-05
7080000,0.065537415,45.768196,333.7053191465266,658.6914893617021,333.70531912750386,21.534527,0.047123287,8.8510955e-05
7140000,0.066261984,45.525284,404.63013698548485,798.4246575342465,404.6301369250637,20.406782,0.04953394,8.6716085e-05
7200000,0.07072104,45.522026,415.470422535715,819.7605633802817,415.47042256929507,17.309782,0.048537802,8.491705e-05
7260000,0.06404898,45.829292,482.73103448029224,952.1724137931035,482.7310343991066,16.317226,0.04926767,8.31197e-05
7320000,0.061722714,46.192867,398.36666666348776,785.9866666666667,398.3666666412353,18.602682,0.046370074,8.132092e-05
7380000,0.057476304,46.200443,412.5428571422379,813.922077922078,412.542857170105,19.076925,0.047417782,7.952406e-05
7440000,0.05159629,46.190315,385.5769230746306,760.8717948717949,385.57692305552655,20.929344,0.045965787,7.7728015e-05
7500000,0.050120223,46.12611,398.462162163612,786.2432432432432,398.46216219583073,18.754852,0.047699805,7.586988e-05
7560000,0.046775762,46.17798,423.1101449261541,834.7391304347826,423.11014491146886,18.488342,0.049001183,7.407193e-05
7620000,0.043892305,46.286472,440.04057971204537,868.1304347826087,442.61029411589396,16.914583,0.04838621,7.2275216e-05
7680000,0.041378967,46.756027,439.454285716159,866.9,437.00140845355855,17.212492,0.047756474,7.047591e-05
7740000,0.04182397,46.656372,458.1147541003149,903.688524590164,458.11475407100113,15.750447,0.049063127,6.867711e-05
7800000,0.04304881,46.666145,424.41805555505886,837.2361111111111,425.02253520404787,17.41276,0.0478204,6.6878245e-05
7860000,0.044623986,46.602013,474.4661764704129,935.8382352941177,473.11884051561356,16.99443,0.0455873,6.508123e-05
7920000,0.044246893,46.585205,417.1390625005588,823.015625,417.1390624670312,17.045748,0.048868578,6.328187e-05
7980000,0.045077246,46.488483,414.4293333315849,817.6533333333333,414.4293333474795,18.46386,0.05096209,6.1484614e-05
8040000,0.042096987,46.52285,456.7287878764398,900.8939393939394,456.72878791075766,16.84319,0.047316734,5.968547e-05
8100000,0.04509731,46.694954,405.8573333319028,800.76,405.8573332913717,18.868048,0.04841863,5.7888265e-05
8160000,0.0493108,46.702576,421.7056338031527,831.9718309859155,421.70563379223915,18.905552,0.04654948,5.6089342e-05
8220000,0.049205106,46.921093,515.3928571428571,1016.4642857142857,515.3928571417928,13.884199,0.04460223,5.429427e-05
8280000,0.047872745,46.897385,474.09365079327233,935.1587301587301,474.09365077529634,17.801935,0.04901507,5.2499086e-05
8340000,0.043888558,46.552464,423.421917807566,835.3424657534247,423.42191784512505,17.61975,0.047852643,5.0698713e-05
8400000,0.04190053,46.433163,475.71111111224644,938.4603174603175,475.71111111792305,16.806616,0.04959879,4.890569e-05
8460000,0.041290298,46.240715,412.0135135086807,812.8648648648649,412.01351349257135,18.67948,0.047554612,4.711048e-05
8520000,0.04111925,46.357178,428.9884057977925,846.3913043478261,428.9884058660355,18.247744,0.048463564,4.5311026e-05
8580000,0.03954599,45.881454,329.11379310385934,649.7011494252873,329.1137931278382,21.377443,0.046932478,4.3513908e-05
8640000,0.040094137,45.98155,420.4000000007947,829.4533333333334,420.40000005165734,18.341127,0.050125506,4.1718904e-05
8700000,0.03962224,46.112774,398.5287671227978,786.3561643835617,398.52876715872384,18.120047,0.049159765,3.9918876e-05
8760000,0.03702758,46.093777,393.82638888806105,777.1527777777778,393.82638892531395,20.66926,0.048841592,3.812485e-05
8820000,0.037031874,46.060104,426.0418918914086,840.4459459459459,426.0418918591899,17.14192,0.048557233,3.632575e-05
8880000,0.04281631,46.491272,514.8362068944964,1015.3793103448276,514.8362069407414,15.372337,0.046897408,3.4527515e-05
8940000,0.044658106,46.525345,458.9047619047619,905.2380952380952,458.9047619227379,17.354128,0.048307374,3.273328e-05
9000000,0.047569495,46.641003,453.4100000015327,894.3428571428572,453.4099999725819,18.208183,0.048741195,3.0871124e-05
9060000,0.047885317,46.410572,411.68933333555856,812.32,411.6893333188693,17.864248,0.0492387,2.9071749e-05
9120000,0.050220307,46.168667,442.9485294135178,873.8676470588235,442.94852937670316,19.432934,0.04792701,2.7276115e-05
9180000,0.049868647,45.91685,381.8106666636467,753.5066666666667,381.810666753451,19.672424,0.05045966,2.5478e-05
9240000,0.04619804,45.879383,432.5223880597015,853.3731343283582,432.52238816556644,17.330326,0.047577932,2.3684426e-05
9300000,0.04679409,45.960407,427.34929577313676,843.1408450704225,427.34929580755636,18.064165,0.048700538,2.1888069e-05
9360000,0.04577252,45.893158,427.2876923065919,842.9230769230769,427.28769226716116,16.3735,0.04809385,2.0092366e-05
9420000,0.0440757,46.151176,441.9253521133477,871.7887323943662,441.92535214356974,18.203442,0.046634275,1.829318e-05
9480000,0.044982303,46.24685,518.2949999998013,1022.1833333333333,518.294999919335,15.34908,0.050415028,1.6499549e-05
9540000,0.04053176,46.462837,505.3157894747299,996.6666666666666,505.31578943394777,15.379547,0.048383772,1.4700056e-05
9600000,0.04160417,46.60839,533.9339285695127,1052.892857142857,533.9339285865426,13.6821165,0.04906992,1.2900317e-05
9660000,0.043033402,46.854946,558.4107142835855,1101.1607142857142,558.4107143038085,13.675764,0.04549525,1.1103605e-05
9720000,0.04142691,46.4786,431.0615384615385,850.4615384615385,431.061538539483,18.317945,0.047755204,9.306632e-06
9780000,0.04242527,46.388115,565.9037735844558,1116.0188679245282,565.9037736181942,15.047234,0.049235076,7.5084868e-06
9840000,0.043201577,46.31778,520.1180327866898,1025.7540983606557,520.1180327554218,14.947455,0.047996737,5.712605e-06
9900000,0.043638635,46.250484,453.0500000026077,893.734375,453.0500000109896,15.378364,0.045613077,3.9186207e-06
9960000,0.0408115,46.24094,482.3451612908994,951.4516129032259,482.34516133127676,15.718916,0.049122,2.122212e-06
