Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
30000,1.4197798,-0.04069415,0.07798815,0.0007098208,0.03734402,0.00029950848,0.3571191,0.22261138,-0.9999999310821295,1996.0,-1.0000000596046448,6.819481722333214
60000,1.4233243,-0.04924442,0.19253404,0.00012282042,0.036151614,0.00029867137,0.06319042,0.22411442,-0.36576869001874,1977.5625,-0.21940774184006911,5.095269155043822
90000,1.4216521,-0.04273458,0.18201612,0.0098541165,0.032562867,0.0002977234,0.030894458,0.22449328,-0.34288119159828057,1931.875,-0.12384174267450969,2.9428332429379225
120000,1.4220127,-0.04436106,0.14121147,0.0065137614,0.032767214,0.0002967792,0.020308886,0.20440833,1.7222000883048167,1552.5,-0.6111143337828773,1.4812708257564478
150000,1.4250151,-0.035024494,0.09674522,0.0041603004,0.032966323,0.00029595767,0.0171382,0.2009374,-0.3836764155027648,1940.0,-0.38367650000488057,1.0821585898451946
180000,1.4304618,-0.033133563,0.07078017,0.0030568552,0.03586726,0.00029512128,0.012827757,0.19166562,-0.6516058130959316,1887.764705882353,-0.6516059093615588,0.7451364906395183
210000,1.4287924,-0.016779069,0.05279258,0.008516347,0.03213685,0.00029416053,0.0103608845,0.19264074,-0.37832934906028265,1929.3529411764705,-0.33948755636811256,0.5879407048923895
240000,1.4337935,0.0058310213,0.04178954,0.013375489,0.032128297,0.00029315415,0.008362293,0.19029628,0.4402750186800404,1616.25,0.37169989021051497,0.3580533227040654
270000,1.4331505,-0.02717666,0.028659862,0.008412203,0.036447447,0.0002923235,0.0073335157,0.18345204,-0.2699799624126172,1869.6666666666667,-0.2699800839026769,0.38776227782169975
300000,1.4358339,-0.0068432563,0.027783655,0.007644896,0.035113305,0.00029145693,0.0075248303,0.20813145,-0.019988164943831235,1801.235294117647,-0.019988288774209863,0.34192224504316554
330000,1.441724,-0.011872222,0.027834274,0.011333418,0.03159271,0.00029052736,0.006946619,0.1868434,0.3431059241599595,1663.5294117647059,0.3431057710857952,0.3130618254928028
360000,1.4425737,-0.015226527,0.019368457,0.010453759,0.03095341,0.00028960785,0.0057855663,0.17444703,0.45409005182918916,1588.75,0.45408994406461717,0.24625295735895633
390000,1.435788,0.05836708,0.013294873,0.0042198854,0.032410476,0.00028875077,0.0058953664,0.18821393,-0.03154437327733225,1726.5,-0.0315444924765163,0.2483942707379659
420000,1.4473052,0.028093144,0.012851417,0.009171433,0.032529872,0.00028789398,0.00556293,0.1872438,0.2993722632369706,1620.4444444444443,0.29937215397755307,0.21878483198169205
450000,1.4510227,0.015594341,0.014139431,0.0061845137,0.03247424,0.000286973,0.005384399,0.160814,0.15316846524633307,1795.6842105263158,0.1531683175187362,0.24308972884165614
480000,1.4546485,-0.03523392,0.012211056,0.0020107643,0.030715201,0.0002860343,0.003989997,0.16229008,-0.6229285086322177,1956.642857142857,-0.6229286076767104,0.20672468861032808
510000,1.4686489,0.025615161,0.011042909,0.0019274134,0.03548601,0.00028515767,0.0032447614,0.15376823,-0.3087686982912601,1864.1875,-0.30876882560551167,0.16840816457988694
540000,1.4834493,0.04604389,0.01131604,0.0047810376,0.034192402,0.00028429282,0.0043224837,0.13116884,0.5287158260785203,1571.3157894736842,0.5287157061852907,0.14669907705760316
570000,1.4680519,0.048096493,0.011069514,0.0009896284,0.03873518,0.00028335376,0.0034091591,0.14240824,-0.2987764053806827,1770.9411764705883,-0.2987765257849413,0.152792066006976
600000,1.4919882,-0.019964537,0.008365406,0.0061829607,0.03235436,0.00028242086,0.0031403226,0.1305113,-0.06271660475168675,1788.9444444444443,-0.06271667944060431,0.13462419176681173
630000,1.4848489,-0.011239389,0.0096307965,0.0074169375,0.037021957,0.00028149728,0.0030720648,0.13502774,-0.04981758264501182,1861.0588235294117,0.00954369269311428,0.14453713345574215
660000,1.5048028,-0.023140233,0.008590133,0.0019342256,0.034811575,0.00028063773,0.0028410396,0.11992394,-0.19982849851969928,1825.0714285714287,-0.2531466633081436,0.16078440621495246
690000,1.5347271,-0.0033453328,0.00877544,0.00032839927,0.0339626,0.0002797687,0.0027888608,0.11202584,-0.6030199308496473,1869.4,-0.5746857651642391,0.11174187450004476
720000,1.5407941,0.03747971,0.009855571,0.004070211,0.03620971,0.00027884156,0.0027092216,0.11081277,0.35905298986900186,1631.8823529411766,0.2835665891567866,0.11369212251156569
750000,1.546759,-0.022354564,0.005612608,0.0038760414,0.033604834,0.0002779619,0.0029649688,0.13544187,-0.34526104132318225,1798.388888888889,-0.34526116483741337,0.11318479436967108
780000,1.5875403,-0.014330116,0.0068769334,0.010618678,0.033877615,0.00027708468,0.0029746064,0.13349403,0.32448241999501237,1700.9411764705883,0.3244823042084189,0.12168922598528512
810000,1.6692202,-0.0105083315,0.0072466363,0.0033560235,0.03570948,0.0002761409,0.002426204,0.11300611,0.029100042997657404,1703.4117647058824,0.02909995790790109,0.09260692650123555
840000,1.6397716,-0.04029744,0.0063259606,0.002410346,0.030030388,0.00027520873,0.0023518023,0.1227957,-0.9997932644362056,1996.0,-0.9997933894395828,0.1150223614803205
870000,1.628978,0.0034278263,0.005497579,0.005468977,0.028569011,0.0002743431,0.0023042124,0.11055153,0.20327230775203337,1812.388888888889,0.2032722168498569,0.09971778068898453
900000,1.6224341,-0.024838146,0.0043588267,0.0007550329,0.03330909,0.00027347836,0.0020402065,0.09512387,-0.6609646439717514,1906.764705882353,-0.6609647650929058,0.0947093024630757
930000,1.7120229,-0.03977569,0.004932248,1.6278196e-05,0.033231713,0.00027253383,0.0022206956,0.13217814,-0.9997865977701925,1996.0,-0.9997867226600647,0.09744765392194192
960000,1.7407637,-0.04404668,0.005706117,9.13816e-06,0.031978223,0.00027165565,0.0019140701,0.0860076,-0.9997999311027732,1996.0,-0.999800056219101,0.09438289701938629
990000,1.8108091,-0.035699625,0.005810074,9.06266e-05,0.033014476,0.00027077866,0.0019852014,0.08629046,-0.9997874311034138,1996.0,-0.9997875560075045,0.09668353281449527
1020000,1.9573414,-0.034791034,0.0047643683,0.0035082032,0.036816712,0.00026983925,0.0016771666,0.055364735,-0.6539665849491333,1971.0,-0.6292500506554332,0.09133764815383724
1050000,1.9787735,-0.030923324,0.005324969,0.00021544372,0.031820513,0.000268952,0.0017921192,0.05847339,-0.9997732644381662,1996.0,-0.9997875560075045,0.0734206179913599
1080000,2.0211625,-0.038390163,0.005750876,0.0017761643,0.034894463,0.00026806467,0.0015703704,0.061009984,-0.6315561934320613,1884.75,-0.6315563283860683,0.07691431921557523
1110000,2.1108556,-0.03781556,0.004291783,0.00092500245,0.033712085,0.0002671243,0.0016462813,0.07530885,-0.6620599358323186,1987.2666666666667,-0.6620600511630376,0.08199114529415966
1140000,2.0616922,-0.043892626,0.004109091,6.6281086e-06,0.03086988,0.00026623966,0.0016896912,0.06553437,-0.9997427882501922,1996.0,-0.9997429123946598,0.07340366506416883
1170000,2.2074497,-0.04952892,0.0037216991,2.79251e-06,0.035829756,0.00026534867,0.0012406474,0.05522151,-0.9997732644386512,1996.0,-0.9997786272849355,0.06771090713196568
1200000,2.1606226,-0.049488448,0.0038239623,8.096741e-06,0.028367884,0.00026445757,0.001603627,0.09506208,-0.9997785025334451,1996.0,-0.9997857702629906,0.05981132404745689
1230000,2.3022616,-0.046726715,0.0048294836,1.6973807e-05,0.031892102,0.0002635658,0.0013934718,0.06760314,-0.9997799311051494,1996.0,-0.9997688056901097,0.07138365821447223
1260000,2.3307579,0.04111127,0.005265801,0.0023428658,0.030790577,0.0002626731,0.0013583475,0.07626819,-0.009316589486035,1682.2777777777778,-0.009316682815551758,0.051470135351539485
1290000,2.3924754,-0.04682639,0.0039684842,0.0026357246,0.033989348,0.00026179224,0.0017557753,0.067547545,-0.6571646522240959,1899.1764705882354,-0.6571647814091515,0.07618678539224408
1320000,2.4569466,-0.02621492,0.0033320521,0.002166148,0.032970756,0.0002608547,0.0012514966,0.06440291,-0.6199356613973838,1950.642857142857,-0.6199357733130455,0.06614699302839913
1350000,2.6095624,-0.01442256,0.003076308,0.0005889357,0.03037874,0.00025991708,0.00086955307,0.044922326,-0.6082066062115093,1879.6666666666667,-0.6082067370414734,0.043768634212513764
1380000,2.521628,-0.029799435,0.0047391253,0.0015707406,0.035362717,0.00025904982,0.0015087834,0.075539246,-0.3817165868216155,1871.111111111111,-0.3817167157928149,0.05523628509965622
1410000,2.5251741,-0.02944746,0.0061751194,0.010426363,0.033664655,0.00025818855,0.0013186082,0.0661899,-0.035241132945349606,1831.8823529411766,-0.035241253235760855,0.05707019611316569
1440000,2.3930209,-0.019065697,0.0036198178,0.0033175994,0.03407045,0.00025725024,0.0014535764,0.066765934,-0.31101868531095533,1868.625,-0.31101881619542837,0.06232623299001716
1470000,2.709256,-0.031097336,0.004809725,5.219958e-05,0.033641864,0.00025636272,0.0011873279,0.041350257,-0.6287874307990933,1879.1875,-0.9997867226600647,0.05450522379639248
1500000,2.7706573,-0.01428369,0.0027204903,0.0050800918,0.03482202,0.0002554921,0.0012422705,0.03659273,-0.6235999421182247,1958.0,-0.25294672946135205,0.04680403587408364
1530000,3.109867,0.01971851,0.0031406872,0.0060791685,0.033317342,0.0002545564,0.0012798627,0.03745093,-0.3656777292186841,1839.1666666666667,-0.36567781617244083,0.05890406585401959
1560000,2.716085,-0.0127344215,0.0024747006,0.0043781,0.03429415,0.00025361317,0.0011322517,0.09241314,-0.25773121444808567,1762.25,-0.2577313194051385,0.0390950323198922
1590000,3.165671,0.03999763,0.0014568898,0.0024020437,0.03726649,0.00025274252,0.00106436,0.046338048,0.17958953416267545,1742.842105263158,0.17958944016381315,0.04293449128683852
