Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
7680000,3.1149328,3.6334303530033636,305.1060606060606,2.151941,-0.034121398,3.704701535518353,0.22033207026811746,0.04546294,0.031293437,6.993914e-05,0.04275181,0.7011688
7710000,3.2209508,3.7294577434835308,306.24038461538464,1.9948355,0.020866131,3.6798384602253256,0.2524398775377239,0.058090504,0.03154674,6.91683e-05,0.0397669,0.7338966
7740000,3.297076,3.9145316193747006,246.96491228070175,2.1794097,0.04402327,3.9083333104326012,0.20089983280029214,0.06547562,0.030776592,6.8237205e-05,0.03866252,0.7042359
7770000,3.1998196,3.247640511021884,372.9047619047619,1.6951387,0.061726887,3.3174880899134136,0.2724400482672666,0.06241314,0.030027624,6.731803e-05,0.036538247,0.711379
7800000,3.2224102,3.8465767802908797,277.873786407767,2.0982015,0.062117618,3.799980783691773,0.21343670280363697,0.044071395,0.031152265,6.644412e-05,0.03713223,0.66020966
7830000,3.280004,3.3137409519060217,350.125,1.8433177,0.05735226,3.2986252712107254,0.25781042002484034,0.05169252,0.032334983,6.554364e-05,0.036619365,0.7151218
7860000,3.2804327,3.8195880471373673,279.65,2.010445,0.05654493,3.8276000022888184,0.20717500836247266,0.06265043,0.032636784,6.4656415e-05,0.035325643,0.70646256
7890000,3.2928088,3.529919656398752,316.3333333333333,2.0189989,0.056219365,3.5175940282274,0.23096006903981808,0.044159517,0.035398558,6.376328e-05,0.03635407,0.67721915
7920000,3.269494,3.5846835763560185,312.27472527472526,1.8758317,0.06365574,3.597619573707166,0.2374474667215153,0.048366033,0.030957703,6.2869294e-05,0.03752505,0.6869325
7950000,3.2704964,3.268436643613003,369.7073170731707,1.7125906,0.063349806,3.2492913302080133,0.26703924740906115,0.039043482,0.031767882,6.195754e-05,0.034920577,0.69720584
7980000,3.2514396,3.6944955100764427,329.6136363636364,1.8888142,0.064136446,3.7071325745475425,0.24212434293513888,0.0487718,0.032204606,6.105629e-05,0.036631223,0.72148234
8010000,3.1780298,3.5309643926537517,309.76237623762376,2.0891,0.073346555,3.524025965332985,0.21872695148922502,0.056511547,0.033176005,6.0161827e-05,0.03516179,0.66070396
8040000,3.265837,3.8450129004402265,280.76146788990826,2.0720525,0.07667176,3.8414220213890076,0.22337387457763383,0.051588558,0.031412326,5.9237787e-05,0.038402237,0.6710667
8070000,3.2723663,3.5186043890826113,328.4130434782609,1.937219,0.061223317,3.530406424435236,0.24301648216061694,0.054077502,0.028984984,5.833995e-05,0.037305217,0.6544146
8100000,3.2519794,3.774569119900896,286.41237113402065,1.9804701,0.052797083,3.762466672807932,0.21181307279039174,0.051052548,0.032076415,5.74436e-05,0.0358472,0.68194634
8130000,3.2513494,3.7984432187139663,286.9901960784314,2.0860417,0.051504645,3.8094912790557713,0.21501119621098042,0.050810993,0.029809777,5.6547873e-05,0.03730193,0.64381826
8160000,3.2560213,3.6202961551988504,295.53921568627453,2.0665069,0.048212744,3.62029610954079,0.22837118101397566,0.041209124,0.030952381,5.5666605e-05,0.037906196,0.6361636
8190000,3.2472243,3.59190440859216,318.1195652173913,1.9607437,0.044380434,3.6423626103243985,0.2409991978944003,0.045654193,0.034363963,5.4784872e-05,0.03848716,0.654326
8220000,3.1786153,3.6238971397414064,307.29126213592235,2.0567353,0.04702114,3.579438456549094,0.2423934314213581,0.058721356,0.031417407,5.386306e-05,0.036971815,0.63432664
8250000,3.2082298,3.162904939534023,366.6951219512195,1.7405106,0.045492746,3.2142938279811246,0.2599387005155469,0.036547355,0.03222952,5.296429e-05,0.03596822,0.6477441
8280000,3.1863885,3.423456852988569,322.2613636363636,1.8952416,0.04253843,3.373759534921539,0.2501184250531572,0.042862855,0.037507333,5.208087e-05,0.03674651,0.6696383
8310000,3.2623127,3.502227779064762,317.7227722772277,1.9440666,0.056853306,3.4915999972820284,0.2358646285161376,0.044167448,0.029261097,5.1151037e-05,0.037570335,0.6326545
8340000,3.2445257,3.8966797129665727,260.929203539823,2.2710772,0.10102644,3.9025421356945706,0.21429754097602868,0.052349564,0.031738903,5.024045e-05,0.04008519,0.6203826
8370000,3.2005146,4.08780182315543,239.73451327433628,2.2571552,0.13044527,4.1332267756973,0.19028617163920508,0.05614551,0.03161528,4.9352362e-05,0.039497085,0.6155514
8400000,3.1748886,3.772424138740866,297.06481481481484,2.1678772,0.13177831,3.7286421847999645,0.248683431467742,0.046228025,0.030691253,4.8457245e-05,0.040325407,0.59456223
8430000,3.1807487,3.718370343973148,288.7029702970297,2.1071317,0.14465855,3.7655520141124725,0.22228093756362796,0.040179484,0.03274215,4.756022e-05,0.038462903,0.61941904
8460000,3.0949852,3.396551709641654,337.6703296703297,1.8803395,0.13495876,3.348765234584394,0.25605980977011117,0.0526296,0.031774335,4.665796e-05,0.037039466,0.6187293
8490000,3.1994808,3.7917107004739474,290.4468085106383,2.0145977,0.13705344,3.7917106411558517,0.22781420839910813,0.05279271,0.032686904,4.573646e-05,0.038227793,0.6189067
8520000,3.266301,3.827235146102331,282.4824561403509,2.193331,0.1689181,3.818966389757342,0.2282395968625767,0.04554912,0.031664114,4.4832675e-05,0.03983118,0.5766242
8550000,3.156619,3.689274792934267,299.77777777777777,2.0295508,0.147897,3.6999979829788208,0.2174989776313305,0.0504959,0.033511177,4.3949152e-05,0.035648223,0.62578624
8580000,3.1742702,3.417484833856851,330.55434782608694,1.9849855,0.14270099,3.4660219753181543,0.2639203551992938,0.036616605,0.030672342,4.3049695e-05,0.039803978,0.584542
8610000,3.1736119,3.6084887054100747,307.11340206185565,1.9977074,0.15672642,3.6084927775196194,0.2387076574425722,0.04418572,0.032536935,4.2121726e-05,0.03883256,0.6083178
