Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
12000,1.4194527,1.1914122463950447,21.91412213740458,0.21188182,1.1929253923277554
24000,1.4203951,1.3689300764520718,23.689300411522634,0.07687096,1.3646089925196927
36000,1.4232979,1.882425785525748,28.824257425742573,0.15852012,1.8722771583217206
48000,1.4264193,2.84455451273387,38.445544554455445,0.34444606,2.8650165756936907
60000,1.4302127,4.993908718757823,59.93908629441624,0.6273445,4.973604699076735
72000,1.4317627,10.358095407344045,113.58095238095238,0.9476759,10.248572966030666
84000,1.4356517,25.24565256435586,261.9782608695652,1.4596944,24.282612357450567
96000,1.4411405,73.69375110650435,742.125,2.1230097,73.10626098513603
108000,1.4477323,82.39333456506331,825.8666666666667,2.4826,80.36667806307474
120000,1.4518408,95.25384757553155,953.2307692307693,3.1744642,95.25386076707106
132000,1.4560351,92.4384629170482,924.2307692307693,3.5368712,92.43847560882568
144000,1.4559184,100.00000149011612,999.0,4.229936,100.00001525878906
156000,1.4581132,100.00000149011612,999.0,4.781653,100.00001525878906
168000,1.4598645,93.12307831186514,931.0769230769231,5.24466,93.12309125753549
180000,1.4599798,100.00000149011612,999.0,5.639088,100.00001525878906
192000,1.4565408,99.60833481885493,996.0,5.9105315,99.60834884643555
204000,1.4562607,99.51666815082233,995.0833333333334,6.17898,99.51668167114258
216000,1.4601958,97.0833347812295,970.75,6.4410634,97.08334795633952
228000,1.4595504,93.00769369476117,929.9230769230769,6.695576,93.00770664215088
240000,1.4656305,78.08666783422231,782.8,6.7366595,78.08667821884156
252000,1.4660128,100.00000149011612,999.0,7.3471775,100.00001525878906
264000,1.4651275,100.00000149011612,999.0,7.6234818,100.00001525878906
276000,1.4659877,100.00000149011612,999.0,7.804812,100.00001525878906
288000,1.4683902,89.02307825306288,891.7692307692307,7.968424,89.02309036254883
300000,1.4674407,100.00000149011612,999.0,8.229196,100.00001525878906
312000,1.4690176,100.00000149011612,999.0,8.424418,100.00001525878906
324000,1.4694349,90.00714420154691,901.4285714285714,8.517039,90.00715679781777
336000,1.4724467,85.87142985314131,859.2857142857143,8.427777,85.87144166231155
348000,1.4681526,100.00000149011612,999.0,9.026973,100.00001525878906
360000,1.466963,100.00000149011612,999.0,9.1778345,100.00001525878906
372000,1.4710948,93.1846167743206,931.6923076923077,9.284407,93.18462973374587
384000,1.4697573,100.00000149011612,999.0,9.449079,100.00001525878906
396000,1.470716,100.00000149011612,999.0,9.576945,100.00001525878906
408000,1.472144,100.00000149011612,999.0,9.696221,100.00001525878906
420000,1.4729422,100.00000149011612,999.0,9.794045,100.00001525878906
432000,1.4763733,86.53571557732565,865.9285714285714,9.775558,86.53572760309491
444000,1.4766623,100.00000149011612,999.0,9.935013,100.00001525878906
456000,1.4796069,100.00000149011612,999.0,9.955563,100.00001525878906
468000,1.4793541,92.12500137401123,921.1666666666666,9.896259,92.12501402695973
480000,1.4805676,100.00000149011612,999.0,9.984366,100.00001525878906
492000,1.4810933,100.00000149011612,999.0,9.9921255,100.00001525878906
