Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
30000,1.4193845,-0.024811272,0.17863007,0.001219552,0.032414004,0.00029954786,0.42843363,0.22673635,-1.0416666023472014,998.0,-1.0416667362054188,5.844470317165057
60000,1.4198855,-0.060018122,0.29398367,0.00017333572,0.03837329,0.0002987374,0.08854411,0.23407133,-1.0444443800499559,998.0,-1.045714351109096,2.465120359829494
90000,1.4213017,-0.084363855,0.20190337,0.0001220815,0.033906963,0.0002978383,0.03812154,0.23431711,-1.02499993290985,998.0,-1.024000060558319,0.9978392577171326
120000,1.423773,-0.09290907,0.14063838,0.0029683004,0.030833082,0.00029685206,0.022748934,0.22684206,-0.7728053401255779,973.5675675675676,-0.9258556233512031,0.6095043917497
150000,1.432097,-0.09424751,0.09356101,0.0033692408,0.032970797,0.00029586966,0.013929503,0.25506064,-1.0249666005111067,998.0,-0.7944880676269531,0.3372521135210991
180000,1.4283582,-0.09538456,0.06619522,0.0034527467,0.034114424,0.00029497064,0.0125154555,0.26233688,-0.7535188568463372,962.4324324324324,-0.7535189809025945,0.3138759367772051
210000,1.4287673,-0.07750358,0.048960384,0.011976216,0.037276246,0.00029408498,0.010408519,0.24990717,-0.24745707069762699,917.1428571428571,-0.24745717431817735,0.23551359995534377
240000,1.4288409,-0.068912044,0.038449295,0.012044224,0.03329394,0.00029320532,0.010195352,0.23901148,-0.6966285234346288,952.0285714285715,-0.6877177550512201,0.24470518803333535
270000,1.4405797,-0.0622891,0.03551295,0.009009682,0.033999044,0.00029230845,0.010912074,0.25863072,-0.5084344223372493,958.4827586206897,-0.5084345546262018,0.24615649185303984
300000,1.4392917,-0.06577485,0.028952925,0.010527644,0.038659293,0.00029139934,0.009282731,0.2739227,-0.5719436855720232,945.3125,-0.5849031011263529,0.22502750937234273
330000,1.4352967,-0.07489319,0.02718781,0.012558878,0.03177387,0.000290537,0.00814725,0.24405856,-0.2021764135146548,880.1176470588235,-0.20217657615156734,0.17410655171774767
