Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
60000,0.29283905,11.876311187873354,24.944493006993007,2.1842132,11.876311180448823,20.664755,0.06922318,0.0002955023
120000,0.1234503,39.537635870196894,79.59103260869566,10.1498785,39.53763584015162,26.73997,0.06901589,0.0002866135
180000,0.100977525,44.53297872266146,89.40881458966565,15.857174,44.53297870535981,31.01473,0.06720138,0.0002775786
240000,0.09933466,43.71032934033585,87.73203592814372,19.402992,43.710329307588985,37.333202,0.07101051,0.00026853124
300000,0.09125835,39.47708049054686,79.41200545702593,21.0754,39.47708047379576,45.034657,0.06629033,0.0002594906
360000,0.08480097,43.62307692094315,87.58431952662721,21.714163,43.62307690736458,43.72444,0.06891003,0.00025044562
420000,0.07080249,48.82909698859106,97.82943143812709,22.893465,48.82909696895542,42.940285,0.06967446,0.00024141636
480000,0.076713584,48.05904605200416,96.33059210526316,23.385773,48.109719911360074,45.5145,0.06840759,0.00023237427
540000,0.065893315,48.667052980092976,97.52317880794702,24.180971,48.678311243949345,45.846073,0.068948194,0.00022350426
600000,0.07117838,48.457711440809135,97.14759535655058,24.02161,48.394867521445484,46.01383,0.067836024,0.00021463714
660000,0.06714902,51.52513180832871,103.13181019332161,24.354076,51.52513176098021,44.525513,0.07067618,0.00020562514
720000,0.067059465,50.941421143516926,102.02599653379549,24.583797,50.941421097857905,45.848427,0.070412725,0.00019657688
780000,0.06407635,53.14187725528483,106.34296028880867,25.117062,53.20777575814487,45.649204,0.06647847,0.00018751198
840000,0.06745231,50.42397260257643,101.00513698630137,24.57531,50.36632475058238,45.774868,0.06761345,0.00017847879
900000,0.06663074,53.88404452568525,107.80333951762523,24.464905,53.884044479018904,43.637165,0.06933795,0.00016944873
960000,0.067167215,49.81226575841693,99.81260647359454,24.851875,49.812265729985405,46.965668,0.06886914,0.00016038683
1020000,0.0644364,50.75145299139186,101.62393162393163,24.51964,50.815068447834825,45.807278,0.06749908,0.00015148928
1080000,0.062049516,52.14386281586296,104.37906137184116,24.739672,52.07441439123841,44.77747,0.06930985,0.0001425922
1140000,0.05821313,54.60219378379843,109.21572212065813,25.021236,54.6021937312766,43.584637,0.068640724,0.00013355027
1200000,0.06305972,55.879423076258256,111.75961538461539,25.287584,55.87942304840455,44.21389,0.06826462,0.00012450009
1260000,0.059942987,53.20646319419306,106.50269299820467,25.081987,53.20646314421933,44.946983,0.06742563,0.000115444345
1320000,0.057133503,54.65262172128377,109.32584269662921,25.105202,54.65262171112643,44.766678,0.065873444,0.00010640391
1380000,0.061706435,50.26419965576592,100.67297762478485,24.819561,50.2641996189362,46.079628,0.06968111,9.737899e-05
1440000,0.058968324,53.44014466509466,106.91681735985533,24.731817,53.440144620687576,43.639797,0.06948543,8.8504166e-05
1500000,0.057676878,55.645197739035396,111.26365348399247,24.976746,55.72471694946289,42.27353,0.065093376,7.960845e-05
1560000,0.054568704,55.928023032743965,111.89059500959694,25.151459,55.846743237241476,44.083138,0.06901304,7.057053e-05
1620000,0.05359813,54.95974025987296,109.93135435992579,25.139076,54.82620815074134,43.226444,0.068409465,6.1513856e-05
1680000,0.05251241,57.28681102277726,114.50984251968504,25.273438,57.42337912871468,42.544907,0.06838505,5.244654e-05
1740000,0.049390517,56.81199226169568,113.54352030947776,25.515203,56.81199222111379,43.2884,0.066511706,4.339339e-05
1800000,0.05138649,58.185573121422365,116.23913043478261,25.941519,58.18557308031165,44.45473,0.06810433,3.4514836e-05
1860000,0.051078092,54.83726591641983,109.63857677902622,25.659082,54.83726588148303,44.78852,0.06765426,2.5619975e-05
1920000,0.0501622,58.89722772211132,117.68316831683168,25.564308,58.897227667581916,43.71178,0.068597585,1.6534994e-05
1980000,0.04957782,57.844094487273786,115.59448818897638,25.213612,57.79763309325457,42.040188,0.06945755,7.4638274e-06
