Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.5849601,-0.012284811,0.0031103608,0.23937352,0.0002998414,-0.9172500465356279,482.0625,-0.9172500376589596
20000,1.5716442,-0.08791771,0.0001504967,0.11893366,0.00029956963,-0.991529458668083,485.0,-0.9915294489439797
30000,1.4483947,-0.112771004,0.008210415,0.25032103,0.0002992616,-0.5473571776362535,353.92857142857144,-0.5473571733704635
40000,1.3186727,-0.07059016,0.018158354,0.37475482,0.0002989493,-0.13776669159415178,251.36,-0.13776668787002563
50000,1.107704,0.060760193,0.029660802,0.44801703,0.00029864546,0.2270328505923906,131.3661971830986,0.22703285672715012
60000,1.0771646,0.104733415,0.02323041,0.4525958,0.0002983439,0.11105126701116275,148.8,0.11105127082421229
70000,1.0724816,0.06297133,0.020174975,0.41469535,0.00029804755,-0.00784578662862612,152.01492537313433,-0.007845780409094113
80000,1.113175,0.084553085,0.031668376,0.52629644,0.00029775788,0.19006665412889562,122.8375,0.1812826925063435
90000,1.0659056,0.08484031,0.02803164,0.5042375,0.0002974454,0.08443588563714402,113.63736263736264,0.09661171347885342
100000,0.9593584,0.15620577,0.035466816,0.5340898,0.00029715203,0.30647711456735055,93.3921568627451,0.3064182964610119
110000,0.7903614,0.14879695,0.03724559,0.54854035,0.00029684475,0.2946144834130435,90.48695652173913,0.2850318783651227
120000,0.8176822,0.19577277,0.040279258,0.56301373,0.00029654533,0.24259203221082493,70.68656716417911,0.24734320679196606
130000,0.90458363,0.14448503,0.04243729,0.5847565,0.00029625188,0.2499690398877387,72.25,0.2532493975415504
140000,0.88437456,0.1361287,0.04343816,0.56685674,0.00029594824,0.33184506299308647,70.1056338028169,0.332408449022283
150000,0.79405797,0.1545299,0.053240784,0.5641996,0.00029565487,0.3210674097167663,54.91573033707865,0.3209775266436379
160000,0.7464443,0.19305047,0.05554192,0.60062957,0.00029535068,0.2661232174797893,46.18483412322275,0.2611753563109732
170000,0.7625173,0.29432777,0.05369871,0.5927186,0.00029504468,0.3482710229348235,45.58411214953271,0.35263551298145934
180000,0.8405808,0.31049994,0.054589134,0.58987236,0.0002947524,0.36226340935043083,47.702439024390245,0.36254634206614844
190000,0.96578854,0.2694333,0.04682583,0.59574616,0.0002944483,0.29904254743621306,51.851063829787236,0.29901063822685403
200000,0.7956605,0.27079684,0.055673547,0.6004356,0.00029414895,0.33705990277724296,44.91705069124424,0.33454128440230263
210000,0.67937034,0.2812729,0.058782022,0.5675446,0.00029385183,0.3270638250389156,41.4936170212766,0.32906837560809576
220000,0.578453,0.2739857,0.058874134,0.5524043,0.00029355564,0.333967208522601,39.92622950819672,0.33426229576351213
230000,0.48892698,0.29750422,0.063552156,0.6026147,0.00029324973,0.371305339222326,37.19083969465649,0.36686259442727076
240000,0.47143623,0.33687565,0.06363812,0.5960829,0.00029294385,0.39902641087471735,36.864150943396226,0.40323018898379126
250000,0.5487287,0.28483447,0.06250018,0.5965708,0.0002926475,0.3500915987253587,37.32442748091603,0.35026717723439665
260000,0.5052431,0.33008945,0.06565504,0.58134115,0.00029234614,0.35502508553212314,34.66308243727599,0.35083871094449876
270000,0.5018979,0.2986495,0.06432659,0.6255054,0.00029204806,0.3530671599663363,36.115671641791046,0.35726119550084
280000,0.437539,0.39857486,0.062557496,0.6325552,0.00029174922,0.48902582640354125,34.247232472324725,0.4850184486086078
290000,0.4111147,0.31660086,0.060001586,0.5680622,0.00029145274,0.35113305984193555,41.229838709677416,0.35110887010852176
300000,0.49176118,0.31419227,0.064167425,0.57458544,0.00029115446,0.3745900342790446,34.509578544061306,0.3745747105828647
310000,0.55832416,0.349469,0.0562896,0.5274983,0.00029084348,0.4071772103492595,43.755274261603375,0.4093739505262435
320000,0.56178415,0.32531643,0.062308468,0.59623224,0.00029054662,0.38736329168475436,36.43445692883895,0.3852857141230339
330000,0.5169429,0.27957025,0.05819532,0.6013359,0.00029024854,0.2917499955529199,37.80952380952381,0.2963531750830866
340000,0.5588708,0.29520476,0.057895202,0.58539414,0.00028993658,0.3442109656581097,42.35021097046413,0.3440253171865447
350000,0.5028423,0.28897375,0.0651197,0.5860021,0.00028965168,0.33173187990230846,35.19565217391305,0.3278913044411203
360000,0.44996175,0.31123292,0.0608785,0.5620319,0.00028935465,0.37547948288265615,37.40384615384615,0.37965641150680873
